Wing,Component,X_mm,Y_mm,KeyId,Rheinische_Pull,Rheinische_Push,Peguri_Note,Manoury_Note,Peguri_Manoury_Note
right,U4,71.554,-43.759,0,A3,A3,,,E4
right,U5,85.12,-49.522,6,A#3,A#3,,,F#4
right,U6,66.352,-63.7,4,F4,F4,,,G4
right,U7,53.296,-56.254,1,B3,B3,,,F4
right,U8,80.632,-70.483,2,D#4,D#4,,,A4
right,U9,49.369,-76.399,3,E4,F#4,,,G#4
right,U10,40.087,-64.618,14,C4,D4,,,B3
right,U11,28.458,-73.696,13,C#4,C4,,,A3
right,U12,63.292,-83.335,7,A#4,E4,,,A#4
right,U13,77.521,-89.404,5,F5,F5,,,C5
right,U14,76.093,-109.498,8,D#5,E5,,,D#5
right,U15,61.558,-102.766,10,G#4,A4,,,C#5
right,U16,47.89,-95.728,12,C#5,F#5,,,B4
right,U17,37.434,-85.477,9,D4,C#4,,,C4
right,U18,17.238,-83.182,20,B6,A6,,,G#6
right,U19,26.163,-94.963,18,A6,G6,,,A#3
right,U21,36.159,-105.724,16,G4,G#4,,,C#4
right,U22,47.631,-115.418,22,F#4,G4,,,D5
right,U23,62.43,-121.798,11,B4,C#5,,,E5
right,U24,75.543,-128.436,15,F#5,G#5,,,F#5
right,U25,78.09,-147.851,17,A5,B5,,,A5
right,U26,63.955,-141.229,21,D5,E5,,,G5
right,U27,49.522,-134.897,23,A4,B4,,,F5
right,U28,37.171,-126.541,19,A#5,A#4,,,D6
right,U30,26.357,-116.649,30,F#6,A#5,,,F6
right,U31,16.32,-105.979,24,G#6,G#6,,,A6
right,U32,17.636,-128.787,27,G6,F#6,,,A#6
right,U33,28.501,-138.577,31,E6,C6,,,F#6
right,U34,40.49,-147.244,29,C6,C5,,,D#6
right,U35,53.959,-154.43,25,C5,D5,,,G#5
right,U36,68.086,-161.06,28,G#5,A5,,,A#5
right,U37,82.315,-168.251,26,C#6,E6,,,C6
right,U39,87.976,-188.192,32,G5,D#5,,,D#6
right,U40,74.155,-180.95,34,B5,C#6,,,C#6
right,U41,59.569,-174.83,36,E5,G5,,,B5
right,U42,45.693,-167.999,33,D6,D6,,,E6
right,U43,32.789,-160.198,37,D#6,D#6,,,G6
right,U44,20.8,-151.531,35,F6,F6,,,B6
left,U4,-32.156,-52.019,38,G#4,G4,F#2,F#2,
left,U5,-45.52,-45.009,33,F2,F#2,A2,A2,
left,U6,-64.905,-51.278,39,F#2,B2,C#3,C#3,
left,U7,-79.121,-43.815,35,C2,F2,C3,C3,
left,U8,-72.876,-66.777,37,D#2,C#2,D#3,D#3,
left,U9,-51.439,-59.69,36,G2,F#3,D3,D3,
left,U10,-37.824,-66.472,27,A#3,C3,A#2,A#2,
left,U11,-26.064,-75.336,28,F3,D#4,G2,G#2,
left,U12,-59.008,-73.228,34,C#4,G#3,E3,E3,
left,U13,-44.962,-79.731,31,C3,F4,F3,F3,
left,U14,-69.828,-88.24,32,F#3,F3,F#3,F#3,
left,U15,-32.433,-89.338,26,F4,C#3,B2,B2,
left,U16,-55.731,-95.834,29,F#4,E4,G3,G3,
left,U17,-67.72,-109.779,25,D#4,F2,A3,A3,
left,U18,-41.736,-102.972,24,E4,D4,G#3,G#3,
left,U19,-22.325,-100.134,19,C#3,D#3,G#2,C2,
left,U20,-30.308,-112.601,23,D#3,C4,A4,D#2,
left,U22,-54.69,-116.433,30,D4,C#4,A#3,A#3,
left,U23,-68.584,-132.283,17,A4,C#2,C4,C4,
left,U24,-40.618,-124.852,21,C4,B3,B3,B3,
left,U25,-21.082,-124.358,20,A#2,A#2,C2,C#2,
left,U26,-30.505,-135.515,18,G3,A#3,A#4,E2,
left,U27,-55.757,-139.446,16,B3,A3,C#4,C#4,
left,U28,-71.607,-153.722,11,G4,F#4,D#4,D#4,
left,U29,-41.736,-147.168,22,A3,G3,D4,D4,
left,U31,-23.238,-149.586,13,G#2,G#2,C#2,D2,
left,U32,-33.655,-160.35,9,A2,D3,B4,F2,
left,U33,-46.152,-168.935,12,D3,G2,F4,F4,
left,U34,-59.106,-161.642,15,G#3,E3,E4,E4,
left,U35,-78.032,-175.997,10,B2,B4,F#4,F#4,
left,U36,-64.951,-183.769,14,E3,A2,G4,G4,
left,U37,-38.485,-182.575,8,E2,D2,G#4,G#4,
left,U38,-81.602,-192.436,0,D2,E2,A4,A4,
